Data operacji;Data waluty;Typ transakcji;Kwota;Waluta;Lokalizacja
2018-03-24;2018-03-23;Płatność kartą;-9;PLN;Lokalizacja:  Nadarzyn  Pajda Catering
2018-03-24;2018-03-22;Płatność kartą;-11.9;PLN;Lokalizacja:     FIVE O CLOCK
2018-03-25;2018-03-23;Płatność kartą;-5.2;PLN;Lokalizacja:     Top Market
2018-03-26;2018-03-25;Płatność kartą;-93.73;PLN;Lokalizacja:  Garwolin  ORLEN
2018-03-27;2018-03-26;Płatność kartą;-15;PLN;Lokalizacja:  Nadarzyn  Pajda Catering
2018-03-28;2018-03-27;Płatność kartą;-12;PLN;Lokalizacja:     McDonalds 464  
2018-03-29;2018-03-28;Płatność kartą;-9;PLN;Lokalizacja:  Nadarzyn  Pajda Catering
2018-03-29;2018-03-27;Płatność kartą;-33.81;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-03-30;2018-03-31;Opłata;-6.9;PLN;
2018-03-30;2018-03-28;Płatność kartą;-10.82;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-03-31;2018-03-29;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-03-31;2018-03-29;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-03-31;2018-03-29;Płatność kartą;-8.68;PLN;Lokalizacja:     ZABKA Z5902 K.1
2018-03-31;2018-03-29;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-03-31;2018-03-29;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-03-31;2018-03-29;Płatność kartą;-3.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-03-31;2018-03-29;Płatność kartą;-3.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-03-31;2018-03-29;Płatność kartą;-3.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-03-31;2018-03-29;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-03-31;2018-03-29;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-03-31;2018-03-29;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-03-31;2018-03-29;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-03-31;2018-03-29;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-03-31;2018-03-29;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-03-31;2018-03-29;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-03-31;2018-03-29;Płatność kartą;-3.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-04-04;2018-04-03;Płatność kartą;-16.67;PLN;Lokalizacja:  Piatnica  ORLEN
2018-04-04;2018-04-03;Płatność kartą;-75.72;PLN;Lokalizacja:  Elk  ORLEN 01
2018-04-05;2018-04-04;Płatność kartą;-6;PLN;Lokalizacja:     Bar Mleczny Marymont
2018-04-05;2018-04-03;Płatność kartą;-1.99;PLN;Lokalizacja:  ELK  JMP S.A. BIEDRONKA 1956
2018-04-06;2018-04-05;Płatność kartą;-0.5;PLN;Lokalizacja:     Bar Mleczny Marymont
2018-04-06;2018-04-04;Płatność kartą;-7;PLN;Lokalizacja:     AUT BILET 2412110
2018-04-07;2018-04-06;Płatność kartą;-9;PLN;Lokalizacja:  Nadarzyn  Pajda Catering
2018-04-07;2018-04-05;Płatność kartą;-4.65;PLN;Lokalizacja:     Top Market
2018-04-08;2018-04-06;Płatność kartą;-13.8;PLN;Lokalizacja:     Top Market
2018-04-08;2018-04-06;Płatność kartą;-7;PLN;Lokalizacja:     MPSA - A 398
2018-04-08;2018-04-06;Płatność kartą;-52.2;PLN;Lokalizacja:  PIASECZNO   AUTO SPORT
2018-04-09;2018-04-08;Płatność kartą;-200.43;PLN;Lokalizacja:     ORLEN
2018-04-10;2018-04-09;Płatność kartą;-12;PLN;Lokalizacja:     McDonalds 33
2018-04-11;2018-04-10;Płatność kartą;-7.5;PLN;Lokalizacja:     McDonalds 07
2018-04-11;2018-04-09;Płatność kartą;-7.5;PLN;Lokalizacja:     TADEUSZ ROZNOWSKI
2018-04-11;2018-04-09;Płatność kartą;-60.67;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
